NumeroArticulo;Centro;Pasillo;Lado;Estante;Balda;X;Y;Stock
33715;calvia;11;I;4;3;0.28;0.04;
33634;calvia;11;I;4;3;0.29;0.04;
33708;calvia;11;I;4;3;0.29;0.04;
33625;calvia;11;I;4;3;0.29;0.04;
85264;calvia;1;D;3;4;0.11;0.27;
